Identifier,rr,nt1,ft1,nt2,ft2,na1,fa1
Responsive,1.230207662,437.374901,382.8056837,2696.967296,2571.115415,67.92891509,60.02398759
Responsive,0.669923816,482.8632072,408.410475,2711.019708,2511.016201,70.12394545,73.36513307
Responsive,1.222512641,511.4548893,339.1382213,2679.420035,2634.412075,64.45002102,62.24686834
Responsive,0.938201968,545.235754,333.1916296,2743.425995,2744.632375,68.33090371,70.75061999
Responsive,0.961997164,499.0276729,417.0910915,2563.999417,2469.382065,67.21341438,67.10142121
Responsive,0.937589336,502.8381212,336.7318035,2811.248863,2446.403777,65.89494722,73.7945882
Responsive,0.788396759,528.1606165,422.3140091,2663.606224,2534.074723,69.92353223,63.4894109
Responsive,0.61742905,522.324392,362.5005031,2728.319078,2534.339174,71.16821257,62.47566059
Responsive,0.600327392,435.6329923,435.7242804,2601.964887,2398.506549,69.65671633,65.44838454
Responsive,0.871000876,446.861469,361.6827316,2873.294648,2489.77304,68.54458164,64.40128073
Responsive,0.954487014,482.5892407,397.554044,2735.33762,2525.540699,71.22801273,70.65985548
Responsive,1.646598393,530.282205,369.5855921,2823.568808,2457.927387,68.88288564,68.7149739
Responsive,0.755734944,535.1822628,422.5125531,2769.12256,2534.669583,66.84448374,71.36846461
Responsive,0.720559561,447.002928,363.4251206,2759.3125,2470.087444,72.82612534,72.33908772
Responsive,0.962963592,421.2756578,347.2060252,2447.049129,2537.490898,69.18753261,75.68246479
Responsive,0.836897624,477.3147742,336.1142639,2649.140592,2531.175719,72.91489813,65.58263112
Responsive,1.0241667,451.7637316,339.6987386,2695.716696,2543.600164,65.25021975,67.5738156
Responsive,1.324684655,319.125408,363.5568419,2797.10411,2628.883609,74.48612607,72.92857264
Responsive,0.635694788,533.3486612,368.5862409,2868.451213,2569.751823,68.11075067,64.85762975
Responsive,0.588288552,374.3372182,394.5369501,2767.627829,2455.600076,70.8979822,62.04337678
Responsive,1.445911201,550.8560815,378.6427193,2722.714652,2403.286303,71.49670108,74.12342473
Responsive,1.378602626,647.5113839,418.9609648,2577.928863,2556.211271,68.16382335,74.22538844
Responsive,1.483812625,547.7629922,392.2365628,2687.601575,2698.041677,71.37268775,64.95011896
Responsive,0.98575843,502.2035356,405.7014,2739.564884,2427.6159,67.91652377,65.88773081
Responsive,0.620111106,454.3241166,357.2646534,2547.676093,2510.029348,67.07762761,72.47379233
Responsive,0.965902604,480.5793834,389.3232785,2656.426579,2487.816289,65.35287326,72.10865096
Responsive,1.49183204,537.5638545,364.6228455,2988.109338,2705.441641,65.33526215,72.2655544
Responsive,0.646515633,530.7133816,350.0720065,2717.56113,2675.501083,68.12472274,69.3138744
Responsive,1.762760135,494.0806435,357.3319123,3097.661344,2639.082653,69.67001268,64.49708792
Responsive,2.031033537,559.1388216,457.4482214,2721.686827,2429.11696,67.83777871,68.13731906
Responsive,0.564459608,466.8697264,374.584759,2759.875321,2589.071303,67.93739334,75.56813767
Responsive,0.31677619,511.3688516,376.3588965,2718.753788,2344.998183,69.82184574,69.53580561
Responsive,1.285027213,487.3991293,385.7554377,2628.931364,2470.199658,66.68895134,70.10870782
Responsive,1.043075477,485.8088914,406.2686174,2947.390884,2462.850012,68.46294337,68.49938335
Responsive,0.529823284,396.3441694,361.8469926,2677.803171,2482.3227,65.91481659,65.97810063
Responsive,0.935710678,408.2976165,397.6303747,2884.917839,2577.437721,69.02835045,67.22383571
Responsive,2.004979185,513.172928,384.8062505,2838.246975,2705.806495,64.77683731,69.59181547
Responsive,1.273417145,535.4852493,387.5382359,2729.98527,2503.934972,67.01967558,73.98430967
Responsive,1.086948642,520.0824202,390.7981403,2641.728058,2501.957715,66.68047623,66.44203493
Responsive,1.176551807,512.0797475,402.4530225,2912.948867,2419.816382,72.58733501,71.65250205
Responsive,0.91310567,538.7515701,367.679287,2477.06101,2686.117802,69.6308542,65.61843014
Responsive,0.718747547,545.1665282,308.6643156,2666.534853,2718.556141,72.3978825,72.43519202
Responsive,1.300585591,524.786967,325.927083,2678.30374,2385.592598,68.37011256,69.23844802
Responsive,1.005461146,447.4738539,353.7301529,2766.249952,2528.705846,68.9186724,68.98834942
Responsive,1.371347898,447.5312381,406.5953244,2620.492712,2336.312151,67.24691057,65.15020696
Responsive,1.370973054,516.3888924,387.1289864,2499.589099,2593.719701,70.24670192,74.53797065
Responsive,1.574113854,448.218504,378.5229513,2790.001038,2647.715664,65.29721252,71.59543771
Responsive,1.805919395,498.6445317,336.626013,2531.449328,2633.930179,70.34871618,74.22404437
Responsive,1.818798307,455.9643914,316.959407,2716.679344,2504.620259,68.12518693,63.07234793
Responsive,0.947915543,502.4515949,378.722361,2789.395169,2650.942383,70.10602551,68.40540197
Responsive,1.159224543,440.0822989,374.4311699,2671.012441,2531.282438,70.23982962,79.06306425
Responsive,0.926779381,462.4848171,387.3045601,2731.864547,2566.747315,66.99687343,65.96412848
Responsive,0.619690965,496.1721385,388.207395,2526.245484,2473.625547,72.01032304,66.6585069
Responsive,0.881338761,426.5329664,343.7618318,2786.971561,2539.670814,68.1159829,69.56994629
Responsive,1.442057558,522.8244253,427.1539057,2545.70822,2561.374418,63.29831479,72.63008888
Responsive,1.285825044,494.7344995,397.2156786,2940.351346,2623.551431,67.40551646,67.49138637
Responsive,0.638874689,485.4386746,395.4072514,2699.449245,2620.363609,69.11600302,71.55855975
Responsive,1.083552981,476.0749906,405.111467,2837.193629,2481.433743,67.25599994,68.30172396
Responsive,1.375594441,548.6325273,441.8489916,2575.033214,2432.969487,69.44601328,72.18768061
Responsive,1.094887511,532.3334641,388.0886659,2805.817864,2628.181746,65.04229966,70.74298181
Responsive,0.680222253,579.9474537,338.1747527,2811.600685,2640.135171,66.79884532,67.12239932
Responsive,0.754207918,465.9522089,355.3320953,2859.150432,2645.795603,70.58908997,73.15142049
Responsive,1.280991081,514.4872652,340.2064505,2846.92186,2687.814063,66.9016768,64.18588768
Responsive,0.856398326,497.2347166,316.4404857,2809.139665,2745.784986,78.15188271,66.19120722
Responsive,1.553597925,504.5691977,294.5798916,2826.858207,2641.081878,73.83491516,71.4245537
Responsive,0.463516903,468.4363115,360.0540395,2821.718843,2603.67605,71.84068575,70.43718559
Responsive,1.042572477,502.4438406,353.8941542,2798.862394,2644.98679,71.38356529,70.77821764
Responsive,1.521109674,479.4433647,344.9266906,2854.247808,2530.735977,74.91526192,72.660198
Responsive,1.064360349,517.2877236,378.24367,2800.450319,2568.333302,66.08536254,69.12844914
Responsive,0.292072421,532.5107962,399.9211015,2820.64041,2687.57995,66.2177754,65.61359308
Responsive,0.846502668,532.0539775,360.2517059,2698.336692,2555.379381,66.09222341,69.52207514
Responsive,0.382984803,421.372482,330.794908,2751.377564,2424.506892,72.98465298,73.96638734
Responsive,0.765912037,435.1827911,366.6774424,2634.456899,2593.22261,73.37206733,64.30537549
Responsive,0.85035716,469.5670758,383.7716824,2725.868884,2507.129554,67.53519157,67.84352636
Responsive,1.287485756,475.9516619,325.7437626,2703.22644,2587.833663,71.84630348,66.74720398
Responsive,1.477688802,478.4655114,411.6700653,2675.247328,2581.042991,71.28783475,56.2879583
Responsive,1.199847793,422.1616079,334.7866737,2724.795805,2480.54297,68.39881837,75.16167489
Responsive,0.395164508,564.8634895,414.145552,2536.078237,2519.276757,71.3378363,62.45180553
Responsive,1.609417388,464.5100348,390.5651029,2763.8063,2584.561597,71.12877581,75.31733147
Responsive,0.360049387,417.4595958,406.0058087,2648.571942,2453.622509,66.20792967,65.09857781
Responsive,0.961484563,469.2441304,347.9694596,2674.440779,2584.116242,66.91036546,69.85360633
Responsive,0.78353644,574.0852164,343.4887338,2628.314729,2513.91841,66.2634669,65.39589326
Responsive,0.682972809,569.3661945,375.7713808,2682.42463,2549.853306,69.58700239,61.26456119
Responsive,0.269838141,509.624583,381.6593318,2844.599751,2521.873307,72.09648208,68.95150583
Responsive,1.570985277,463.7560463,338.633337,2579.998937,2489.138907,72.78842511,62.62382717
Responsive,1.4733263,424.3401925,412.176388,2882.33178,2433.265739,74.21232799,63.5725776
Responsive,0.865896204,486.1978906,317.9686168,2653.199071,2563.022171,72.97562075,69.92428781
Responsive,1.298520165,436.9137868,397.7508748,2662.212599,2523.543657,74.0641242,64.78468974
Responsive,1.356868896,512.3165538,315.6589206,2723.700271,2408.457038,71.58512237,65.72120692
Responsive,1.587838504,588.7523618,347.9538467,2811.717702,2680.39084,64.92555464,60.71817994
Responsive,1.269482942,548.3807538,410.1406906,2937.269879,2465.524596,70.90847605,60.44608749
Responsive,0.900280221,543.6153331,384.9092232,2745.315313,2610.042732,70.64761116,73.87026009
Responsive,1.403568683,462.1053296,374.2569489,2947.193154,2527.678172,68.81109314,67.72163185
Responsive,0.823587489,418.8393625,407.7440578,2664.389003,2250.29066,65.23289834,67.63887166
Responsive,1.185090842,528.0236652,345.523459,2839.268437,2542.061849,64.95565346,65.98460982
Responsive,1.116216103,483.5219087,443.1325635,2498.857063,2595.195614,73.2839089,72.11029349
Responsive,0.945250302,433.6700442,376.8293619,2740.835883,2539.551046,66.71907801,73.39436262
Responsive,1.7601357,453.2770367,361.1567838,2622.876791,2454.979736,70.94457517,68.0605865
Responsive,0.862449639,435.9855909,354.0563119,2706.357112,2329.269664,62.42596628,67.28975209
Responsive,1.653702402,461.998039,392.554973,2595.269141,2471.451437,69.35684764,60.63822885
Responsive,1.310913298,478.7696107,397.774926,2857.218983,2626.600716,70.01622018,67.95283676
Responsive,1.508806048,493.3741847,436.7109559,2790.848458,2332.206189,68.98523165,68.4493102
Responsive,1.330275591,570.2000822,326.6589435,2817.100348,2548.796866,69.7653023,68.63153376
Responsive,0.529362503,475.1495767,265.5483483,2584.900837,2468.004194,67.0625104,68.3947135
Responsive,0.931337708,346.4247127,338.1578956,2659.222123,2536.377699,69.53062633,60.76816539
Responsive,1.253038621,445.881582,352.5607771,2934.889773,2527.177528,72.23712877,75.32898624
Responsive,0.669054795,516.3099337,371.3518305,2637.551033,2451.218101,76.28214828,60.92953225
Responsive,0.525299578,447.1705288,336.4195193,2820.733459,2429.148165,68.01186095,61.77096948
Responsive,1.152063656,500.2166339,387.0495317,2577.954388,2596.867819,69.46593869,66.31089801
Responsive,0.522557316,539.5300714,404.5446092,2609.425149,2556.355006,65.04667263,67.50237021
Responsive,0.844405779,402.008142,357.5366577,2770.391215,2554.002646,66.81865288,70.42754686
Responsive,1.438667596,450.0421869,402.3185661,2626.559003,2516.384873,65.14014675,68.37408731
Responsive,0.329400736,502.4658924,391.6866914,2881.259424,2606.381767,66.33742825,78.07235618
Responsive,0.270548521,485.0831756,327.6163229,2835.435734,2696.333127,64.07274537,71.27219331
Responsive,0.645795659,565.6492455,385.1298007,2781.813776,2484.187149,67.37493953,67.68940749
Responsive,1.247279019,493.8752155,386.9379168,2736.708249,2441.420874,65.61452808,69.32099514
Responsive,0.941537854,546.1316165,390.6225616,2957.379229,2386.137064,66.50249881,60.190732
Responsive,0.858075084,519.053912,347.2919885,2725.311443,2641.154046,70.21410634,72.4691347
Responsive,0.872811987,579.1228638,316.3830921,2850.861604,2293.442841,68.69510017,70.89941131
